					 	    ****** The Weekend Fitness Club (WFC) ******
					    	        Booking your slot here.......

1) Saturday
|-----------------|------------------------|------------------------|-----------------------|-----------------------|
|-----------------|------------------------|------------------------|-----------------------|-----------------------|
| 02nd of April   |	. 08.00 - 09.00	       |	. 09.00 - 10.00     |	. 10.30 - 11.30     |	. 12.00 - 13.00     |
|  (Sunday)       |	. 13.30 - 14.30        |	. 14.45 - 15.45     |	. 16.00 - 17.00     |	. 17.45 - 18.45     |
|-----------------|------------------------|------------------------|-----------------------|-----------------------|
| 09th of April   |	. 08.00 - 09.00        |	. 09.00 - 10.00     |	. 10.30 - 11.30     |	. 12.00 - 13.00     |
|  (Sunday)       |	. 13.30 - 14.30        |	. 14.45 - 15.45     |	. 16.00 - 17.00     |	. 17.45 - 18.45     |
|-----------------|------------------------|------------------------|-----------------------|-----------------------|
| 16th of April   |	. 08.00 - 09.00        |	. 09.00 - 10.00     |	. 10.30 - 11.30     |	. 12.00 - 13.00     |
|  (Sunday)       |	. 13.30 - 14.30        |	. 14.45 - 15.45     |	. 16.00 - 17.00     |	. 17.45 - 18.45     |
|-----------------|------------------------|------------------------|-----------------------|-----------------------|
| 23rd of April   |	. 08.00 - 09.00        |	. 09.00 - 10.00     |	. 10.30 - 11.30     |	. 12.00 - 13.00     |
|  (Sunday)       |	. 13.30 - 14.30        |	. 14.45 - 15.45     |	. 16.00 - 17.00     |	. 17.45 - 18.45     |
|-----------------|------------------------|------------------------|-----------------------|-----------------------|
| 30th of April   |	. 08.00 - 09.00        |	. 09.00 - 10.00     |	. 10.30 - 11.30     |	. 12.00 - 13.00     |
|  (Sunday)       |	. 13.30 - 14.30        |	. 14.45 - 15.45     |	. 16.00 - 17.00     |	. 17.45 - 18.45     |
|-----------------|------------------------|------------------------|-----------------------|-----------------------|
| 07th of May     |	. 08.00 - 09.00        |	. 09.00 - 10.00     |	. 10.30 - 11.30     |	. 12.00 - 13.00     |
|  (Sunday)       |	. 13.30 - 14.30        |	. 14.45 - 15.45     |	. 16.00 - 17.00     |	. 17.45 - 18.45     |
|-----------------|------------------------|------------------------|-----------------------|-----------------------|
| 14th of May     |	. 08.00 - 09.00        |	. 09.00 - 10.00     |	. 10.30 - 11.30     |	. 12.00 - 13.00     |
|  (Sunday)       |	. 13.30 - 14.30        |	. 14.45 - 15.45     |	. 16.00 - 17.00     |	. 17.45 - 18.45     |
|-----------------|------------------------|------------------------|-----------------------|-----------------------|
| 21th of May     |	. 08.00 - 09.00        |	. 09.00 - 10.00     |	. 10.30 - 11.30     |	. 12.00 - 13.00     |
|  (Sunday)       |	. 13.30 - 14.30        |	. 14.45 - 15.45     |	. 16.00 - 17.00     |	. 17.45 - 18.45     |
|-----------------|------------------------|------------------------|-----------------------|-----------------------|
